Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,arrival_year,arrival_month,arrival_date,avg_price_per_room
INN00001,3,1,2,3,Meal Plan 2,1,Room_Type 4,2018,11,3,66
INN00002,2,0,2,3,Not Selected,0,Room_Type 1,2018,11,6,106.68
INN00003,1,0,2,1,Meal Plan 1,0,Room_Type 1,2018,2,28,60.0
INN00004,2,0,0,2,Meal Plan 1,0,Room_Type 1,2018,5,20,100.0
INN00005,2,0,1,1,Not Selected,0,Room_Type 1,2018,4,11,94.5
INN00006,2,0,0,2,Meal Plan 2,0,Room_Type 1,2018,9,13,115.0
INN00007,2,0,1,3,Meal Plan 1,1,Room_Type 1,2017,10,15,107.55
INN00008,2,0,1,3,Meal Plan 1,0,Room_Type 4,2018,12,26,105.61
INN00009,3,0,0,4,Meal Plan 1,0,Room_Type 1,2018,7,6,96.9
INN00010,2,0,0,5,Meal Plan 1,0,Room_Type 4,2018,10,18,133.44
INN00011,1,0,1,0,Not Selected,1,Room_Type 1,2018,9,11,85.03
INN00012,1,0,2,1,Meal Plan 1,0,Room_Type 4,2018,4,30,140.4
INN00013,2,0,2,1,Not Selected,0,Room_Type 1,2018,11,26,88.0
INN00014,1,0,2,0,Meal Plan 1,1,Room_Type 1,2018,11,20,90.0
INN00015,2,0,0,2,Meal Plan 1,0,Room_Type 1,2017,10,20,94.5
INN00016,2,0,0,2,Meal Plan 2,0,Room_Type 1,2018,6,15,115.0
INN00017,1,0,1,0,Meal Plan 1,0,Room_Type 1,2017,10,5,96.0
INN00018,2,0,1,3,Not Selected,0,Room_Type 1,2017,8,10,96.0
INN00019,2,0,2,2,Meal Plan 1,0,Room_Type 1,2017,10,30,65.0
INN00020,2,0,1,0,Meal Plan 1,0,Room_Type 1,2017,10,4,72.0
INN00021,2,0,2,2,Meal Plan 1,1,Room_Type 1,2017,10,30,65.0
INN00022,1,0,0,1,Meal Plan 1,0,Room_Type 1,2018,11,25,67.0
INN00023,2,0,2,4,Meal Plan 1,0,Room_Type 1,2018,3,20,85.0
INN00024,2,0,0,3,Meal Plan 1,0,Room_Type 1,2018,10,13,105.0
INN00025,2,0,2,1,Not Selected,0,Room_Type 1,2018,5,22,94.5
INN00026,2,0,0,2,Meal Plan 1,0,Room_Type 1,2018,4,28,114.3
INN00027,2,0,1,1,Meal Plan 1,0,Room_Type 1,2017,9,21,65.0
INN00028,1,0,0,2,Meal Plan 1,0,Room_Type 4,2018,5,19,110.0
INN00029,1,0,1,2,Meal Plan 1,0,Room_Type 1,2017,11,6,37.33
INN00030,2,2,3,4,Meal Plan 1,1,Room_Type 4,2020,12,4,50
INN00031,2,2,2,2,Not Selected,0,Room_Type 1,2023,6,7,89
